Season,School,Conf,G,GS,MP,FG,FGA,FG.,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG Per Game,FGA Per Game,2P Per Game,2PA Per Game,3P Per Game,3PA Per Game,FT Per Game,FTA Per Game,ORB Per Game,DRB Per Game,TRB Per Game,AST Per Game,STL Per Game,BLK Per Game,TOV Per Game,PF Per Game,PTS Per Game,SOS Per Game,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS Per 40,OBPM,DBPM,BPM,URL,Player_Name,Class
2019-20,Georgia,SEC,32,32,1057,203,505,0.402,131,260,0.504,72,245,0.294,132,171,0.772,24,143,167,91,43,18,87,70,610,6.3,15.8,4.1,8.1,2.3,7.7,4.1,5.3,0.8,4.5,5.2,2.8,1.3,0.6,2.7,2.2,19.1,8.06,20.8,0.52,0.485,0.339,573,2.5,14.8,8.7,17.9,2.3,1.7,12.9,30.4,2.5,1.1,3.6,0.136,4.8,0.7,5.5,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html,anthony edwards,Freshman
2019-20,Memphis,AAC,3,3,69,20,26,0.769,20,25,0.8,0,1,0,19,27,0.704,13,19,32,1,1,9,3,5,59,6.7,8.7,6.7,8.3,0,0.3,6.3,9,4.3,6.3,10.7,0.3,0.3,3,1,1.7,19.7,5.07,52.7,0.76,0.038,1.038,48,21.8,26.5,24.4,4.4,0.8,13.6,7.2,29.1,0.5,0.2,0.7,0.434,13.1,4.9,18,https://www.sports-reference.com/cbb/players/james-wiseman-1.html,james wiseman,Freshman
2019-20,USC,Pac-12,28,28,858,175,284,0.616,174,280,0.621,1,4,0.25,103,143,0.72,92,150,242,30,34,76,56,75,454,6.3,10.1,6.2,10,0,0.1,3.7,5.1,3.3,5.4,8.6,1.1,1.2,2.7,2,2.7,16.2,7.22,31.1,0.645,0.014,0.504,418,12.4,18.4,15.5,8.4,2.3,9.8,13.7,23.6,3.2,2.1,5.4,0.251,6.7,4.9,11.6,https://www.sports-reference.com/cbb/players/onyeka-okongwu-1.html,onyeka okongwu,Freshman
2019-20,Dayton,A-10,31,31,981,245,387,0.633,213,305,0.698,32,82,0.39,99,141,0.702,37,197,234,67,30,38,68,51,621,7.9,12.5,6.9,9.8,1,2.6,3.2,4.5,1.2,6.4,7.5,2.2,1,1.2,2.2,1.6,20,3.69,32.5,0.684,0.212,0.364,540,5.2,22,14.5,14.5,1.8,4.1,13,28.1,4.5,2.3,6.8,0.279,9,3.3,12.3,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html,obadiah toppin,Sophmore
2019-20,Auburn,SEC,28,28,881,125,243,0.514,105,173,0.607,20,70,0.286,90,134,0.672,53,71,124,57,26,25,55,76,360,4.5,8.7,3.8,6.2,0.7,2.5,3.2,4.8,1.9,2.5,4.4,2,0.9,0.9,2,2.7,12.9,7.39,19.1,0.587,0.288,0.551,351,6.4,8.8,7.6,13.1,1.7,3.1,15.2,19.6,2.3,1.1,3.4,0.156,3.7,2.5,6.3,https://www.sports-reference.com/cbb/players/isaac-okoro-1.html,isaac okoro,Freshman
2019-20,Iowa State,Big 12,22,22,807,123,244,0.504,71,120,0.592,52,124,0.419,37,45,0.822,32,97,129,142,54,15,61,28,335,5.6,11.1,3.2,5.5,2.4,5.6,1.7,2,1.5,4.4,5.9,6.5,2.5,0.7,2.8,1.3,15.2,10.07,25.9,0.631,0.508,0.184,365,4.6,13.7,9.2,35.3,3.8,2,18.7,20.1,2.7,1,3.8,0.187,8,3.7,11.6,https://www.sports-reference.com/cbb/players/tyrese-haliburton-1.html,tyrese haliburton,Sophmore
2019-20,Florida State,ACC,29,0,653,95,207,0.459,79,157,0.503,16,50,0.32,62,74,0.838,38,78,116,29,29,30,50,47,268,3.3,7.1,2.7,5.4,0.6,1.7,2.1,2.6,1.3,2.7,4,1,1,1,1.7,1.6,9.2,7.64,19.4,0.553,0.242,0.357,258,6.9,14,10.5,8.4,2.5,5.6,17.1,22.2,1.2,1.3,2.5,0.154,2.3,3.2,5.5,https://www.sports-reference.com/cbb/players/patrick-williams-2.html,patrick williams,Freshman
2019-20,Florida State,ACC,30,30,863,144,294,0.49,100,188,0.532,44,106,0.415,48,65,0.738,38,114,152,49,42,29,23,58,380,4.8,9.8,3.3,6.3,1.5,3.5,1.6,2.2,1.3,3.8,5.1,1.6,1.4,1,0.8,1.9,12.7,7.64,23.8,0.585,0.361,0.221,352,5.3,15.4,10.4,11.2,2.8,4.1,6.6,20,3,1.7,4.7,0.218,6.7,4.2,10.9,https://www.sports-reference.com/cbb/players/devin-vassell-1.html,devin vassell,Sophmore
2019-20,Memphis,AAC,31,31,943,182,369,0.493,169,329,0.514,13,40,0.325,112,187,0.599,93,241,334,30,34,58,87,73,489,5.9,11.9,5.5,10.6,0.4,1.3,3.6,6,3,7.8,10.8,1,1.1,1.9,2.8,2.4,15.8,5.07,23.3,0.534,0.108,0.507,460,11.4,24.6,18.6,7.5,2,6.4,16,27.7,1.5,2.9,4.4,0.187,2.5,3.4,5.8,https://www.sports-reference.com/cbb/players/precious-achiuwa-1.html,precious achiuwa,Freshman
2019-20,Vanderbilt,SEC,14,14,500,105,205,0.512,45,90,0.5,60,115,0.522,52,63,0.825,11,57,68,13,20,12,24,39,322,7.5,14.6,3.2,6.4,4.3,8.2,3.7,4.5,0.8,4.1,4.9,0.9,1.4,0.9,1.7,2.8,23,6.41,29,0.685,0.561,0.307,260,2.5,13.9,8,6.9,2.3,2.6,9.3,26.3,2.2,0.4,2.6,0.207,9.3,0.4,9.7,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html,aaron nesmith,Sophmore
