"","PlayerName","X","Rk","Date","School","X.1","Opponent","Type","X.2","GS","MP","FG","FGA","FG.","X2P","X2PA","X2P.","X3P","X3PA","X3P.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","URL","Class"
"1","aaron nesmith",235,1,"2019-11-06","Vanderbilt","","Southeast Missouri State","REG","W",1,33,8,12,0.667,1,1,1,7,11,0.636,2,2,1,0,4,4,2,1,1,2,2,25,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"2","aaron nesmith",236,2,"2019-11-11","Vanderbilt","","Texas A&M-Corpus Christi","REG","W",1,33,8,15,0.533,5,8,0.625,3,7,0.429,2,3,0.667,0,7,7,0,1,2,2,1,21,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"3","aaron nesmith",237,3,"2019-11-14","Vanderbilt","@","Richmond","REG","L",1,39,12,18,0.667,5,6,0.833,7,12,0.583,3,6,0.5,0,7,7,0,0,2,4,3,34,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"4","aaron nesmith",238,4,"2019-11-20","Vanderbilt","","Austin Peay","REG","W",1,31,10,17,0.588,6,9,0.667,4,8,0.5,2,3,0.667,2,2,4,0,1,0,1,4,26,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"5","aaron nesmith",239,5,"2019-11-22","Vanderbilt","","South Carolina State","REG","W",1,31,7,11,0.636,3,5,0.6,4,6,0.667,2,3,0.667,1,4,5,2,1,0,0,4,20,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"6","aaron nesmith",240,6,"2019-11-25","Vanderbilt","","Southeastern Louisiana","REG","W",1,37,5,14,0.357,1,3,0.333,4,11,0.364,0,0,NA,0,3,3,1,1,2,1,2,14,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"7","aaron nesmith",241,7,"2019-11-30","Vanderbilt","","Tulsa","REG","L",1,37,8,20,0.4,3,12,0.25,5,8,0.625,5,5,1,2,4,6,0,3,0,1,2,26,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"8","aaron nesmith",242,8,"2019-12-03","Vanderbilt","","Buffalo","REG","W",1,29,4,11,0.364,3,6,0.5,1,5,0.2,7,7,1,0,3,3,0,2,1,1,3,16,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"9","aaron nesmith",243,9,"2019-12-14","Vanderbilt","","Liberty","REG","L",1,37,6,16,0.375,4,8,0.5,2,8,0.25,5,5,1,0,5,5,0,1,1,1,1,19,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"10","aaron nesmith",244,10,"2019-12-18","Vanderbilt","N","Loyola (IL)","REG","L",1,37,7,13,0.538,4,5,0.8,3,8,0.375,6,6,1,1,5,6,2,2,0,3,3,23,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"11","aaron nesmith",245,11,"2019-12-21","Vanderbilt","","UNC Wilmington","REG","W",1,36,9,16,0.563,2,6,0.333,7,10,0.7,9,11,0.818,2,4,6,0,2,1,5,2,34,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
"12","aaron nesmith",246,12,"2019-12-30","Vanderbilt","","Davidson","REG","W",1,38,5,9,0.556,4,7,0.571,1,2,0.5,6,6,1,1,1,2,2,2,0,1,3,17,"https://www.sports-reference.com/cbb/players/aaron-nesmith-1/gamelog/2020","Sophmore"
